x,y,CHM.S,Slope.S,DistRoad.S,Height,Orientation,BHG,YCASC,Rat
575954.3066,8848578.287,-0.618400805,2.105916014,0,B,Horizontal,1,1,1
576024.3066,8848578.287,-0.628328646,2.00158129,-0.91665346,B,Horizontal,1,1,1
576094.3066,8848578.287,-0.869256681,1.863354273,-0.91665346,B,Horizontal,1,1,1
576164.3066,8848578.287,-1.087096749,1.655877155,-0.91665346,B,Horizontal,1,1,1
576234.3066,8848578.287,-0.958676435,1.540868126,-0.82305302,B,Horizontal,1,1,1
576304.3066,8848578.287,-1.044034817,1.286711559,-0.690682015,B,Horizontal,1,1,1
576374.3066,8848578.287,-0.795144349,0.60309952,-0.690682015,B,Horizontal,1,1,1
576444.3066,8848578.287,-1.033050996,-0.006485459,-0.690682015,B,Horizontal,1,1,1
576514.3066,8848578.287,-1.161036123,0.179468148,-0.63733737,B,Horizontal,1,1,1
576584.3066,8848578.287,-1.482291853,0.409713997,-0.503481135,B,Horizontal,1,1,1
576654.3066,8848578.287,-1.182594613,0.831976005,-0.63733737,B,Horizontal,1,1,1
576724.3066,8848578.287,-1.497334814,2.026653526,-0.690682015,B,Horizontal,1,1,1
576794.3066,8848578.287,-0.98749734,1.013373569,-0.91665346,B,Horizontal,1,1,1
576864.3066,8848578.287,-1.162844566,-0.611955295,0,B,Horizontal,1,1,1
576934.3066,8848578.287,-1.292295286,-0.941732364,0,B,Horizontal,1,1,1
573784.3066,8848508.287,-1.414738498,-0.382388385,-0.690682015,B,Horizontal,1,1,1
573854.3066,8848508.287,0,-0.142013638,-0.91665346,B,Horizontal,1,1,1
573924.3066,8848508.287,-1.134610048,0.806864842,0,B,Horizontal,1,1,1
573994.3066,8848508.287,-0.698038896,1.245565141,0,B,Horizontal,1,1,1
574064.3066,8848508.287,-0.510572644,1.521478582,0,B,Horizontal,1,1,1
574134.3066,8848508.287,-0.301970071,1.337124539,0,B,Horizontal,1,1,1
574204.3066,8848508.287,0,0.354148602,0,B,Horizontal,1,1,1
574274.3066,8848508.287,-1.212227495,-0.584850299,0,B,Horizontal,1,1,1
574344.3066,8848508.287,-1.134628459,-0.853457791,0,B,Horizontal,1,1,1
574414.3066,8848508.287,-1.303800773,-0.789616887,-0.91665346,B,Horizontal,1,1,1
574484.3066,8848508.287,-1.04136567,-0.514498792,-0.91665346,B,Horizontal,1,1,1
575324.3066,8848508.287,-1.313750746,-0.539904324,-0.91665346,B,Horizontal,1,1,1
575394.3066,8848508.287,-1.528272698,-0.237624113,0,B,Horizontal,1,1,1
575464.3066,8848508.287,0,0.757486004,0,B,Horizontal,1,1,1
575534.3066,8848508.287,-1.529122615,1.620707247,0,B,Horizontal,1,1,1
575604.3066,8848508.287,-0.362550694,2.021571676,0,B,Horizontal,1,1,1
575674.3066,8848508.287,0.001333269,2.312312222,0,B,Horizontal,1,1,1
575744.3066,8848508.287,-0.619883416,2.40751959,-0.91665346,B,Horizontal,1,1,1
575814.3066,8848508.287,-0.680513881,2.227739266,-0.91665346,B,Horizontal,1,1,1
575884.3066,8848508.287,-0.887987945,1.79548853,-0.91665346,B,Horizontal,1,1,1
575954.3066,8848508.287,-0.576326413,1.431443299,-0.91665346,B,Horizontal,1,1,1
576024.3066,8848508.287,-0.3217376,1.271646209,-0.82305302,B,Horizontal,1,1,1
576094.3066,8848508.287,-0.993796392,1.093604173,-0.690682015,B,Horizontal,1,1,1
576164.3066,8848508.287,-1.006828938,0.941297528,-0.690682015,B,Horizontal,1,1,1
576234.3066,8848508.287,-0.443092263,0.875563483,-0.63733737,B,Horizontal,1,1,1
576304.3066,8848508.287,-0.659052099,0.50917857,-0.503481135,B,Horizontal,1,1,1
576374.3066,8848508.287,-0.964118876,0.132275754,-0.46471057,B,Horizontal,1,1,1
576444.3066,8848508.287,-0.969782257,0.060183,-0.46471057,B,Horizontal,1,1,1
576514.3066,8848508.287,-1.226811836,-0.008724931,-0.428040471,B,Horizontal,1,1,1
576584.3066,8848508.287,-1.191237351,-0.206395032,-0.327873252,B,Horizontal,1,1,1
576654.3066,8848508.287,-1.201609678,0.265905392,-0.428040471,B,Horizontal,1,1,1
576724.3066,8848508.287,-1.286715874,2.167287488,-0.63733737,B,Horizontal,1,1,1
576794.3066,8848508.287,-1.13093402,1.749359578,-0.82305302,B,Horizontal,1,1,1
576864.3066,8848508.287,0,-0.511722544,-0.91665346,B,Horizontal,1,1,1
576934.3066,8848508.287,-1.417667152,-0.927493206,0,B,Horizontal,1,1,1
573784.3066,8848438.287,-1.355777993,-0.516850784,-0.82305302,B,Horizontal,1,1,1
573854.3066,8848438.287,0,0.331037358,-0.91665346,B,Horizontal,1,1,1
573924.3066,8848438.287,-0.71986631,1.373349497,0,B,Horizontal,1,1,1
573994.3066,8848438.287,-1.501165947,1.228329991,-0.91665346,B,Horizontal,1,1,1
574064.3066,8848438.287,-0.505438555,1.155902771,0,B,Horizontal,1,1,1
574134.3066,8848438.287,-0.405865183,2.052215734,0,B,Horizontal,1,1,1
574204.3066,8848438.287,-0.705688143,2.23301892,-0.91665346,B,Horizontal,1,1,1
574274.3066,8848438.287,-0.165291249,1.411356624,0,B,Horizontal,1,1,1
574344.3066,8848438.287,-1.458852945,0.362547327,0,B,Horizontal,1,1,1
574414.3066,8848438.287,0,-0.293682369,0,B,Horizontal,1,1,1
574484.3066,8848438.287,0,-0.449121221,0,B,Horizontal,1,1,1
574554.3066,8848438.287,-1.413804962,-0.625937293,0,B,Horizontal,1,1,1
574624.3066,8848438.287,-1.154420723,-0.690617458,0,B,Horizontal,1,1,1
574694.3066,8848438.287,-0.193133634,-0.729242346,0,B,Horizontal,1,1,1
574764.3066,8848438.287,-1.509726296,-0.71156719,0,B,Horizontal,1,1,1
574834.3066,8848438.287,-0.408161631,-0.606354896,-0.91665346,B,Horizontal,1,1,1
